date,region,course_id,race_id,type,pattern,age_band,dist,dist_f,dist_m,dist_y,going,surface,ran,pos,draw,ovr_btn,btn,horse_id,age,sex,wgt,lbs,time,secs,sp,dec,jockey_id,trainer_id,prize,or,rpr,ts,sire_id,dam_id,damsire_id,owner_id
2008-01-19,NZ,479,448799,Flat,Group 1,3yo+,6f,6f,1200,1320,Good,Turf,18,1,3.0,0,0,646777,5.0,M,9-3,129,1:06.66,66.66,7/5F,2.4,83472,13388,57915.0,–,110,–,450464,646765.0,581594.0,130465
2008-02-09,NZ,481,450169,Flat,Group 1,3yo+,7f,7f,1400,1540,Good,Turf,9,1,4.0,0,0,646777,5.0,M,8-12,124,1:21.31,81.31,1/5F,1.2,83472,13388,48263.0,–,110,–,450464,646765.0,581594.0,130465
2010-12-26,NZ,380,521880,Flat,Group 1,3yo+,1m2f,10f,2000,2200,Good,Turf,14,1,8.0,0.0,0.0,752754,6.0,G,9-4,130,2:04.02,124.02,127/10,13.7,12269,15128,53811.66,–,114,–,559670,752749.0,304532.0,180946
2010-12-26,NZ,380,521880,Flat,Group 1,3yo+,1m2f,10f,2000,2200,Good,Turf,14,2,2.0,0.5,0.5,700352,6.0,G,9-4,130,2:04.10,124.1,9/5F,2.8,77257,12425,17488.79,–,113,–,552780,700346.0,305033.0,188779
2010-12-26,NZ,380,521880,Flat,Group 1,3yo+,1m2f,10f,2000,2200,Good,Turf,14,3,10.0,0.75,0.2,704034,7.0,G,9-4,130,2:04.14,124.14,41/10,5.1,78646,20895,8520.18,–,113,–,90481,704029.0,485787.0,186319
2010-12-26,NZ,380,521880,Flat,Group 1,3yo+,1m2f,10f,2000,2200,Good,Turf,14,4,1.0,1.5,0.75,755646,5.0,M,9-0,126,2:04.27,124.27,71/1,72.0,87383,18952,4035.87,–,107,–,519564,755647.0,459025.0,182007
2010-12-26,NZ,380,521880,Flat,Group 1,3yo+,1m2f,10f,2000,2200,Good,Turf,14,5,14.0,1.5,0.1,728293,4.0,F,8-13,125,2:04.29,124.29,27/1,28.0,82747,12116,2242.15,–,106,–,584343,728290.0,461545.0,212231
2010-12-26,NZ,380,521880,Flat,Group 1,3yo+,1m2f,10f,2000,2200,Good,Turf,14,6,9.0,2.25,0.75,754008,4.0,F,8-13,125,2:04.39,124.39,13/2,7.5,88921,15788,896.86,–,104,–,500343,753977.0,304318.0,181354
2010-12-26,NZ,380,521880,Flat,Group 1,3yo+,1m2f,10f,2000,2200,Good,Turf,14,7,13.0,3.0,0.75,698486,8.0,G,9-4,130,2:04.52,124.52,17/2,9.5,84768,15128,896.86,–,108,–,505999,698484.0,590369.0,185471
2010-12-26,NZ,380,521880,Flat,Group 1,3yo+,1m2f,10f,2000,2200,Good,Turf,14,8,6.0,3.0,0.05,693357,6.0,G,9-4,130,2:04.53,124.53,26/1,27.0,77702,19857,896.86,–,108,–,520805,693349.0,468650.0,181099
2010-12-26,NZ,380,521880,Flat,Group 1,3yo+,1m2f,10f,2000,2200,Good,Turf,14,9,5.0,3.25,0.1,619017,9.0,G,9-4,130,2:04.58,124.58,232/10,24.2,84500,23916,896.86,–,108,–,460671,619014.0,302206.0,172300
2013-03-23,NZ,1107,575490,Flat,Group 2,4yo+,1m,8f,1600,1760,Good To Soft,Turf,14,1,7.0,0,0,801527,4.0,F,8-3,115,1:36.90,96.90,36/1,37.0,81727,26156,27104.59,–,102,–,667782,801529.0,482091.0,312681
2013-03-23,NZ,1107,575490,Flat,Group 2,4yo+,1m,8f,1600,1760,Good To Soft,Turf,14,2,5.0,0.1,0.1,806488,5.0,M,8-11,123,1:36.92,96.92,37/10,4.7,77257,16061,8673.47,–,110,–,474562,806490.0,486179.0,201510
2013-03-23,NZ,1107,575490,Flat,Group 2,4yo+,1m,8f,1600,1760,Good To Soft,Turf,14,3,4.0,1.5,1.5,797573,5.0,M,8-10,122,1:37.15,97.15,206/10,21.6,91306,10946,4336.73,–,106,–,520326,797574.0,486179.0,119975
2013-03-23,NZ,1107,575490,Flat,Group 2,4yo+,1m,8f,1600,1760,Good To Soft,Turf,14,4,9.0,3.5,2,801953,7.0,G,9-2,128,1:37.48,97.48,34/1,35.0,87918,23206,2168.37,–,107,–,547442,707725.0,304451.0,199650
2013-03-23,NZ,1107,575490,Flat,Group 2,4yo+,1m,8f,1600,1760,Good To Soft,Turf,14,5,10.0,4.25,.75,823465,5.0,G,8-10,122,1:37.61,97.61,106/10,11.6,77702,27257,1084.18,–,99,–,533495,580710.0,54708.0,114240
2013-11-16,NZ,1107,591508,Flat,Group 3,3yo+,1m,8f,1600,1760,Good,Turf,6,1,5.0,0,0,828910,4.0,G,9-4,130,1:35.68,95.68,11/10F,2.1,75804,22159,22321.43,–,110,–,828911,828912.0,57937.0,209116
2013-11-16,NZ,1107,591508,Flat,Group 3,3yo+,1m,8f,1600,1760,Good,Turf,6,2,2.0,0.2,0.2,806488,6.0,M,9-0,126,1:35.71,95.71,23/10,3.3,82747,16061,7142.86,–,106,–,474562,806490.0,486179.0,201510
2013-11-16,NZ,1107,591508,Flat,Group 3,3yo+,1m,8f,1600,1760,Good,Turf,6,3,1.0,1,.75,767058,6.0,M,9-0,126,1:35.85,95.85,66/10,7.6,77702,13974,3571.43,–,104,–,581361,767060.0,73085.0,185867
2013-11-16,NZ,1107,591508,Flat,Group 3,3yo+,1m,8f,1600,1760,Good,Turf,6,4,6.0,1,0.1,775598,5.0,G,9-4,130,1:35.85,95.85,9/2,5.5,78018,16607,1785.71,–,108,–,584343,775599.0,450464.0,189368
2013-11-16,NZ,1107,591508,Flat,Group 3,3yo+,1m,8f,1600,1760,Good,Turf,6,5,3.0,5,4,801953,8.0,G,9-4,130,1:36.51,96.51,194/10,20.4,87918,23206,892.86,–,98,–,547442,707725.0,304451.0,211145
2014-03-22,NZ,1107,598569,Flat,Group 2,4yo+,1m,8f,1600,1760,Good,Turf,13,1,8.0,0,0,806488,6.0,M,9-4,130,1:35.79,95.79,69/10,7.9,82747,16061,30940.59,–,110,–,474562,806490.0,486179.0,201510
2014-03-22,NZ,1107,598569,Flat,Group 2,4yo+,1m,8f,1600,1760,Good,Turf,13,2,4.0,0.2,0.2,852218,4.0,F,8-10,122,1:35.82,95.82,4/1,5.0,91306,22987,9900.99,–,102,–,597619,852219.0,459025.0,216964
2014-03-22,NZ,1107,598569,Flat,Group 2,4yo+,1m,8f,1600,1760,Good,Turf,13,3,2.0,.5,0.3,857021,4.0,F,8-3,115,1:35.87,95.87,32/1,33.0,81066,27347,4950.5,–,94,–,560048,854255.0,463975.0,207715
